201904191450.00 ,26.80 ,0.71 ,1.00 ,0.00 ,1.00 
201904191500.00 ,26.50 ,0.71 ,1.00 ,0.00 ,1.00 
201904191520.00 ,25.30 ,0.79 ,1.00 ,0.00 ,1.00 
201904191530.00 ,24.90 ,0.82 ,1.00 ,0.00 ,1.00 
201904191540.00 ,24.60 ,0.85 ,1.00 ,0.00 ,1.00 
201904191550.00 ,24.70 ,0.86 ,1.00 ,0.00 ,1.00 
201904191600.00 ,24.80 ,0.86 ,1.00 ,0.00 ,1.00 
201904191620.00 ,24.40 ,0.86 ,1.00 ,0.00 ,1.00 
201904191630.00 ,24.40 ,0.87 ,1.00 ,0.00 ,1.00 
201904191640.00 ,24.20 ,0.88 ,1.00 ,0.00 ,1.00 
201904191650.00 ,24.10 ,0.90 ,1.00 ,0.00 ,1.00 
201904191700.00 ,24.00 ,0.90 ,1.00 ,0.00 ,1.00 
201904191710.00 ,24.00 ,0.91 ,1.00 ,0.00 ,1.00 
201904191720.00 ,24.00 ,0.91 ,1.00 ,0.00 ,1.00 
201904191730.00 ,23.90 ,0.92 ,31.62 ,0.00 ,1.00 
201904191740.00 ,23.70 ,0.93 ,316.23 ,0.00 ,1.00 
201904191750.00 ,23.70 ,0.93 ,316.23 ,1.00 ,2.00 
201904191800.00 ,23.50 ,0.94 ,100.00 ,0.50 ,2.50 
201904191810.00 ,23.30 ,0.94 ,1000.00 ,1.00 ,3.50 
201904191820.00 ,23.20 ,0.95 ,1000.00 ,0.50 ,4.00 
201904191830.00 ,23.10 ,0.95 ,31.62 ,0.50 ,4.50 
201904191840.00 ,23.10 ,0.95 ,31.62 ,0.00 ,4.50 
201904191850.00 ,23.00 ,0.96 ,10.00 ,0.50 ,5.00 
201904191900.00 ,23.00 ,0.96 ,1.00 ,0.00 ,5.00 
201904191910.00 ,22.80 ,0.96 ,1.00 ,0.00 ,5.00 
201904191920.00 ,22.90 ,0.96 ,1.00 ,0.00 ,5.00 
201904191930.00 ,22.90 ,0.96 ,1.00 ,0.00 ,5.00 
201904191940.00 ,22.90 ,0.96 ,1.00 ,0.00 ,5.00 
201904191950.00 ,22.80 ,0.97 ,1.00 ,0.00 ,5.00 
201904192000.00 ,23.00 ,0.97 ,1.00 ,0.00 ,5.00 
201904192010.00 ,23.00 ,0.97 ,1.00 ,0.00 ,5.00 
201904192020.00 ,23.00 ,0.97 ,1.00 ,0.00 ,5.00 
201904192030.00 ,22.90 ,0.97 ,1.00 ,0.00 ,5.00 
201904192040.00 ,22.90 ,0.97 ,3.16 ,0.00 ,5.00 
201904192050.00 ,22.90 ,0.97 ,10.00 ,0.00 ,5.00 
201904192100.00 ,22.90 ,0.97 ,100.00 ,0.00 ,5.00 
201904192110.00 ,22.90 ,0.97 ,31.62 ,0.00 ,5.00 
201904192120.00 ,22.90 ,0.97 ,10.00 ,0.00 ,5.00 
201904192130.00 ,22.90 ,0.97 ,31.62 ,0.00 ,5.00 
201904192140.00 ,22.90 ,0.97 ,10.00 ,0.00 ,5.00 
201904192150.00 ,22.90 ,0.97 ,31.62 ,0.00 ,5.00 
201904192200.00 ,22.90 ,0.97 ,3.16 ,0.00 ,5.00 
201904192210.00 ,23.00 ,0.97 ,3.16 ,0.00 ,5.00 
201904192220.00 ,22.90 ,0.97 ,1.00 ,0.00 ,5.00 
201904192230.00 ,22.70 ,0.97 ,10.00 ,0.00 ,5.00 
201904192240.00 ,22.70 ,0.97 ,1.00 ,0.00 ,5.00 
201904192250.00 ,22.80 ,0.97 ,1.00 ,0.00 ,5.00 
201904192300.00 ,22.70 ,0.97 ,1.00 ,0.00 ,5.00 
201904192310.00 ,22.80 ,0.97 ,1.00 ,0.00 ,5.00 
201904192320.00 ,22.70 ,0.97 ,0.32 ,0.00 ,5.00 
201904192330.00 ,22.80 ,0.97 ,0.32 ,0.00 ,5.00 
201904192340.00 ,22.70 ,0.97 ,1.00 ,0.00 ,5.00 
201904192350.00 ,22.70 ,0.97 ,31.62 ,0.00 ,5.00 
201904200000.00 ,22.60 ,0.97 ,31.62 ,0.00 ,5.00 
201904200010.00 ,22.40 ,0.97 ,31.62 ,0.00 ,0.00 
201904200030.00 ,22.20 ,0.97 ,10.00 ,0.00 ,0.00 
201904200040.00 ,22.10 ,0.97 ,100.00 ,0.00 ,0.00 
201904200050.00 ,22.10 ,0.97 ,10.00 ,0.00 ,0.00 
201904200100.00 ,22.10 ,0.97 ,100.00 ,0.00 ,0.00 
201904200120.00 ,22.10 ,0.97 ,100.00 ,0.00 ,0.00 
201904200130.00 ,22.10 ,0.97 ,10.00 ,0.00 ,0.00 
201904200140.00 ,22.10 ,0.96 ,10.00 ,0.00 ,0.00 
201904200150.00 ,22.10 ,0.96 ,31.62 ,0.00 ,0.00 
201904200200.00 ,22.10 ,0.96 ,31.62 ,0.00 ,0.00 
201904200220.00 ,22.10 ,0.97 ,10.00 ,0.00 ,0.00 
201904200230.00 ,22.00 ,0.97 ,316.23 ,0.00 ,0.00 
201904200240.00 ,22.00 ,0.97 ,100.00 ,0.00 ,0.00 
201904200250.00 ,22.10 ,0.97 ,31.62 ,0.00 ,0.00 
201904200310.00 ,22.00 ,0.97 ,31.62 ,0.00 ,0.00 
201904200320.00 ,21.90 ,0.97 ,10.00 ,0.00 ,0.00 
201904200330.00 ,21.80 ,0.97 ,10.00 ,0.00 ,0.00 
201904200340.00 ,21.60 ,0.97 ,10.00 ,0.00 ,0.00 
201904200350.00 ,21.60 ,0.97 ,10.00 ,0.00 ,0.00 
201904200400.00 ,21.60 ,0.97 ,10.00 ,0.00 ,0.00 
201904200410.00 ,21.50 ,0.97 ,10.00 ,0.00 ,0.00 
201904200420.00 ,21.50 ,0.97 ,3.16 ,0.00 ,0.00 
201904200430.00 ,21.60 ,0.97 ,3.16 ,0.00 ,0.00 
201904200440.00 ,21.60 ,0.97 ,1.00 ,0.00 ,0.00 
201904200450.00 ,21.50 ,0.97 ,1.00 ,0.00 ,0.00 
201904200500.00 ,21.60 ,0.97 ,1.00 ,0.00 ,0.00 
201904200510.00 ,21.60 ,0.97 ,1.00 ,0.00 ,0.00 
201904200520.00 ,21.50 ,0.97 ,1.00 ,0.00 ,0.00 
201904200530.00 ,21.50 ,0.97 ,0.32 ,0.00 ,0.00 
201904200540.00 ,21.50 ,0.97 ,1.00 ,0.00 ,0.00 
201904200550.00 ,21.40 ,0.97 ,1.00 ,0.00 ,0.00 
201904200600.00 ,21.50 ,0.97 ,1.00 ,0.00 ,0.00 
201904200610.00 ,21.60 ,0.97 ,1.00 ,0.00 ,0.00 
201904200620.00 ,21.60 ,0.97 ,1.00 ,0.00 ,0.00 
201904200630.00 ,21.80 ,0.97 ,1.00 ,0.00 ,0.00 
201904200640.00 ,21.90 ,0.97 ,1.00 ,0.00 ,0.00 
201904200650.00 ,21.90 ,0.97 ,1.00 ,0.00 ,0.00 
201904200700.00 ,22.00 ,0.97 ,1.00 ,0.00 ,0.00 
201904200710.00 ,21.90 ,0.97 ,1.00 ,0.00 ,0.00 
201904200720.00 ,22.10 ,0.97 ,1.00 ,0.00 ,0.00 
201904200730.00 ,22.10 ,0.96 ,1.00 ,0.00 ,0.00 
201904200740.00 ,22.40 ,0.96 ,1.00 ,0.00 ,0.00 
201904200750.00 ,22.60 ,0.96 ,1.00 ,0.00 ,0.00 
201904200800.00 ,22.90 ,0.94 ,1.00 ,0.00 ,0.00 
201904200810.00 ,23.40 ,0.91 ,1.00 ,0.00 ,0.00 
201904200820.00 ,23.80 ,0.88 ,1.00 ,0.00 ,0.00 
201904200830.00 ,24.20 ,0.86 ,1.00 ,0.00 ,0.00 
201904200840.00 ,24.60 ,0.86 ,1.00 ,0.00 ,0.00 
201904200850.00 ,24.80 ,0.84 ,1.00 ,0.00 ,0.00 
201904200900.00 ,24.90 ,0.83 ,1.00 ,0.00 ,0.00 
201904200910.00 ,24.70 ,0.83 ,1.00 ,0.00 ,0.00 
201904200920.00 ,24.00 ,0.86 ,1.00 ,0.00 ,0.00 
201904200930.00 ,23.90 ,0.88 ,1.00 ,0.00 ,0.00 
201904200940.00 ,24.30 ,0.86 ,1.00 ,0.00 ,0.00 
